Name,Company,Role,Source
Aida Habtezion,Pfizer,Chief Medical Officer & Head of Worldwide Medical and Safety (2021-2025),https://www.pfizer.com/news/announcements/pfizer-announces-new-chief-medical-officer
Aida Habtezion,Bio Usawa,Board Member,https://www.biospace.com/press-releases/bio-usawa-appoints-dr-aida-habtezion-former-chief-medical-officer-at-pfizer-to-its-board-of-directors
Alessia Fornoni,L&F Health LLC,Vice President & Chief Scientific Officer,https://nephcure.org/team/alessia-fornoni-md-phd/
Alessia Fornoni,Hoffmann-La Roche,"Global Head of Discovery, Cardiovascular and Metabolism",https://www.doximity.com/pub/alessia-fornoni-md
Alexander Krupnick,Courier Therapeutics,Founder & Board Member,https://rocketreach.co/alexander-krupnick-email_72714002
Alexander Krupnick,Recourse Biologics,Founder,https://rocketreach.co/alexander-krupnick-email_72714002
Alexander Krupnick,aSKY Therapeutics,Founder,https://www.cbinsights.com/company/asky-therapeutics/people
Anna Greka,Goldfinch Bio,Co-Founder & Scientific Advisor,https://www.businesswire.com/news/home/20161214005249/en/Third-Rock-Ventures-Launches-Goldfinch-Bio-with-55-Million-Series-A-Investment
Anna Greka,Sail Bio,Founder,https://ovidrx.com/our-company/board-of-directors/
Anna Greka,Ovid Therapeutics,Board Member,https://www.biospace.com/press-releases/ovid-therapeutics-appoints-leading-physician-scientist-and-biotech-innovator-anna-greka-m-d-ph-d-to-board-of-directors
Anna Greka,Merck,Strategic Consultant/Advisor,https://ovidrx.com/our-company/board-of-directors/
Anna Greka,Novartis,Strategic Consultant/Advisor,https://ovidrx.com/our-company/board-of-directors/
Anna Greka,AbbVie,Strategic Consultant/Advisor,https://ovidrx.com/our-company/board-of-directors/
Anna Greka,Bain,Strategic Consultant/Advisor,https://ovidrx.com/our-company/board-of-directors/
Anna Greka,Blackstone,Strategic Consultant/Advisor,https://ovidrx.com/our-company/board-of-directors/
Ash Alizadeh,CAPP Medical,Co-Founder,https://en.wikipedia.org/wiki/Ash_Alizadeh
Ash Alizadeh,CiberMed,Co-Founder,https://stanfordhealthcare.org/doctors/a/arash-alizadeh.html
Ash Alizadeh,Foresight Diagnostics,Founder & Chief Medical Advisor,https://theorg.com/org/foresight-diagnostics/org-chart/ash-alizadeh
Ash Alizadeh,Resero Bio,Co-Founder,https://en.wikipedia.org/wiki/Ash_Alizadeh
