name,company,role,source
Aida Habtezion,Pfizer,Chief Medical Officer & Head of Worldwide Medical and Safety (2021-2025),https://www.pfizer.com/news/announcements/pfizer-announces-new-chief-medical-officer
Alan Kopin,"AUTTX, LLC",Co-Founder & Chief Executive Officer,https://alsunitedct.org/collaboration-driving-momentum-in-als-research/
Alessia Fornoni,L&F Health LLC,Vice President & Chief Scientific Officer,https://nephcure.org/team/alessia-fornoni-md-phd/
Alexander Krupnick,Courier Therapeutics,Founder & Board Member,https://rocketreach.co/alexander-krupnick-email_72714002
Anna Greka,Goldfinch Bio,Co-Founder & Scientific Advisor,https://www.businesswire.com/news/home/20161214005249/en/Third-Rock-Ventures-Launches-Goldfinch-Bio-with-55-Million-Series-A-Investment
Ash Alizadeh,CAPP Medical,Co-Founder,https://en.wikipedia.org/wiki/Ash_Alizadeh
Barry Sherman,Genentech,Senior Vice President & first Chief Medical Officer,https://www.prnewswire.com/news-releases/jennerex-appoints-barry-sherman-md-to-board-of-directors-108650479.html
Catherine Blish,Deepcell,Advisory Board Member,https://www.businesswire.com/news/home/20210302005437/en/Stanfords-Dr.-Catherine-Blish-Joins-Deepcells-Advisory-Board
Ching-Hon Pui,Castle Connolly,Medical Advisory Board Member,https://www.tnhealthcarehall.com/2022/07/28/chin-hon-pui/
Dennis Slamon,BioMarin Pharmaceutical,Board Member,https://www.biomarin.com/news/press-releases/biomarin-appoints-pioneer-in-personalized-medicine-dennis-j-slamon-m-d-ph-d-to-board-of-directors/
Euan Ashley,"Personalis, Inc.",Founder,https://rocketreach.co/euan-ashley-email_1602352
Ganesh Raj,Etira,"Founder, Chief Medical Officer & Chief Scientific Officer",https://etira.life/our-team/ganesh-raj-md-phd/
Jack Tsao,Isaac Health,Provider (Behavioral Neurologist),https://isaac.health/team/jack-tsao/
Jean-Pierre Issa,Epigen Oncology,President & Chief Scientific Officer,https://epigenonco.com/leadership/
Jeffrey Curtis,Siensmetrica,Advisory Board Member,https://siensmetrica.com/2025/01/16/siensmetrica-announces-advisory-board/
Joseph Goldstein,"Regeneron Pharmaceuticals, Inc.",Board Member (Director since 1991),https://investor.regeneron.com/board-directors/joseph-goldstein
Margaret Koziel,Boston Pharmaceuticals,Chief Medical Officer,https://www.bostonpharmaceuticals.com/mgmt-margaret-koziel
Maximilian Diehn,Foresight Diagnostics,"Founder, Scientific Advisor & Board Member",https://foresight-dx.com/about-us/
Robert Baloh,AcuraStem,Scientific Advisory Board Member,https://acurastem.com/blog/acurastem-announces-first-scientific-board-advisors
Sarat Chandarlapaty,"Nuvalent, Inc.",Advisor (Professional Services),https://www.mskcc.org/research/ski/labs/members/sarat-chandarlapaty
Shyamasundaran Kottilil,MitoPower LLC,Leadership Team Member,https://www.inknowvation.com/sbir/companies/mitopower-llc
Soumya Raychaudhuri,Mestag Therapeutics,Founder,https://www.mestagtherapeutics.com/about/
Stephen Gottschalk,Be Biopharma,Scientific Advisory Board Member,https://www.healio.com/news/hematology-oncology/podcasts/oncology-overdrive/episode-83
Sudhir Shah,Sterling Hospitals,Director of Neurosciences,https://en.wikipedia.org/wiki/Sudhir_V._Shah
Trever Bivona,Revolution Medicines,Scientific Advisor,https://theorg.com/org/revolution-medicines/org-chart/trever-bivona
William Tap,Certis Oncology Solutions,Scientific Advisory Board Member,https://theorg.com/org/certis-oncology-solutions?person=william-tap
